address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
NA,NA,NA,NA,857600,1050,NA,1.0,43,Foreclosure,"http://www.zillow.com/homes/for_sale/128834330_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
690 Market St # 701,San Francisco,CA,94104,1495000,1475,1,1.5,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/89237213_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
690 Market St # 504,San Francisco,CA,94104,1998000,1695,2,2.5,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/89237437_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
690 Market St # 303,San Francisco,CA,94104,NA,1254,1,1.0,1511,NA,"http://www.zillow.com/homes/for_sale/89240462_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
690 Market St # 201,San Francisco,CA,94104,1295000,1290,1,1.5,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/89238930_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NA,NA,NA,NA,944000,964,2,2.0,469,Foreclosure,"http://www.zillow.com/homes/for_sale/124411033_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
690 Market St # 902,San Francisco,CA,94104,3195000,2490,2,3.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/89240586_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
690 Market St Unit 1605,San Francisco,CA,94104,1048000,952,1,2.0,195,Condo For Sale,"http://www.zillow.com/homes/for_sale/89240118_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
690 Market St Unit 1904,San Francisco,CA,94104,2698000,1960,3,3.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/89238999_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
201 Folsom St # 2PGZ5G,San Francisco,CA,94105,1525000,972,1,1.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2098636730_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
401 Harrison St # 9QXRH8,San Francisco,CA,94105,800000,840,1,1.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2097683950_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
201 Folsom St # OBJV6E,San Francisco,CA,94105,1170000,876,1,1.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2097661525_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
301 Mission St Apt 401,San Francisco,CA,94105,5995000,3814,4,4.0,7,Condo For Sale,"http://www.zillow.com/homes/for_sale/111710995_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
333 Beale St Apt 3F,San Francisco,CA,94105,989000,920,1,1.0,6,Condo For Sale,"http://www.zillow.com/homes/for_sale/2094962155_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
401 Harrison St Apt 20B,San Francisco,CA,94105,1700000,1311,2,2.0,4,Condo For Sale,"http://www.zillow.com/homes/for_sale/2094944338_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
333 Beale St # C3G,San Francisco,CA,94105,1950000,1553,2,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/2094961365_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
301 Mission St Apt 33E,San Francisco,CA,94105,2500000,1714,2,2.0,10,Condo For Sale,"http://www.zillow.com/homes/for_sale/114316151_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
201 Folsom St # 44LUC4,San Francisco,CA,94105,1530000,1401,2,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2098636729_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
201 Folsom St # 52P34K,San Francisco,CA,94105,1485000,1189,2,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2098636734_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
301 Main St Unit 18E,San Francisco,CA,94105,1680000,1180,2,2.0,6,Condo For Sale,"http://www.zillow.com/homes/for_sale/2104779473_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
201 Folsom St # 4LNGQC,San Francisco,CA,94105,1605000,1366,2,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2098636731_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
403 Main St Apt 504N,San Francisco,CA,94105,635000,483,1,1.0,10,Condo For Sale,"http://www.zillow.com/homes/for_sale/15148601_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
400 Beale St Apt 1301,San Francisco,CA,94105,1195000,1223,2,2.0,NA,Condo For Sale,"http://www.zillow.com/homes/for_sale/80736771_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
201 Harrison St Apt 610,San Francisco,CA,94105,875000,797,2,2.0,21,Condo For Sale,"http://www.zillow.com/homes/for_sale/15148284_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
301 Mission St Apt 53D,San Francisco,CA,94105,3995000,2230,2,3.0,11,Apartment For Sale,"http://www.zillow.com/homes/for_sale/114317706_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
403 Main St Apt 817N,San Francisco,CA,94105,875000,922,1,1.0,10,Condo For Sale,"http://www.zillow.com/homes/for_sale/15148674_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
301 Mission St Apt 4E,San Francisco,CA,94105,1299000,1136,2,2.0,12,Condo For Sale,"http://www.zillow.com/homes/for_sale/111925912_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
201 Folsom St # 36ILJO,San Francisco,CA,94105,2350000,1495,2,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2098636733_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
201 Harrison St Apt 125,San Francisco,CA,94105,625000,NA,1,1.0,19,Condo For Sale,"http://www.zillow.com/homes/for_sale/15148147_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
403 Main St Apt 203N,San Francisco,CA,94105,1195000,1176,2,2.0,25,Condo For Sale,"http://www.zillow.com/homes/for_sale/15148540_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
201 Folsom St # EYS5DE,San Francisco,CA,94105,3085000,1780,3,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2096956669_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
74 New Montgomery St Unit 613,San Francisco,CA,94105,849000,NA,1,1.0,25,Condo For Sale,"http://www.zillow.com/homes/for_sale/82785979_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
50 Lansing St Unit 703,San Francisco,CA,94105,1198000,1082,2,2.0,22,Condo For Sale,"http://www.zillow.com/homes/for_sale/79841936_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
201 Folsom St Apt 9F,San Francisco,CA,94105,1420000,1187,2,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2095078529_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
201 Folsom St Apt 15D,San Francisco,CA,94105,1200000,881,1,1.0,NA,Foreclosure,"http://www.zillow.com/homes/for_sale/2095171683_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
188 Minna St Apt 29C,San Francisco,CA,94105,2995000,1670,2,3.0,21,Condo For Sale,"http://www.zillow.com/homes/for_sale/69819172_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
201 Folsom St # C15207,San Francisco,CA,94105,5435000,2692,3,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2096951602_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
NA,NA,NA,NA,NA,759,1,1.0,48,Foreclosure,"http://www.zillow.com/homes/for_sale/128822789_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
